CPU Total,CPU Package Temperature,Memory,Used Memory,Temperature,Used Space
18.359375,42,56.5441475,2.21419144,30.6877389,92.11933
3.90625,41,56.52291,2.21335983,31.0989377,92.11933
13.28125,44,56.9839859,2.23141479,30.9194608,92.11933
32.03125,44,56.8045425,2.22438812,30.7392482,92.11933
10.15625,42,56.4488754,2.21046066,30.8996948,92.11933
14.0625,42,56.32662,2.20567322,30.8091197,92.11947
48.4375,43,56.2331963,2.202015,30.8644715,92.11947
14.84375,42,56.40046,2.20856476,31.1013047,92.11947
5.859375,42,56.3535042,2.206726,30.9198257,92.11947
7.04985237,42,56.30285,2.20474243,30.8240211,92.11947
8.587742,42,56.4971962,2.21235275,31.1861861,92.11947
14.84375,42,56.21303,2.20122528,31.5952373,92.11947
7.03125,42,56.1011963,2.196846,30.981989,92.11947
23.4375,44,56.25677,2.202938,31.090772,92.11947
50,45,55.9795227,2.19208145,31.0462897,92.11947
9.375,43,55.7336426,2.18245316,31.150082,92.11947
15.234375,42,55.3645325,2.16799927,30.9517948,92.11947
19.99008,42,55.2893257,2.16505432,31.1192232,92.11947
8.960337,44,55.5843048,2.17660522,31.0415297,92.11947
17.1875,42,55.6634064,2.17970276,30.9975575,92.11947
10.15625,41,55.6348648,2.178585,31.2220981,92.11947
6.67783,42,55.409832,2.169773,31.193157,92.11947
10.8894234,43,55.54943,2.17523956,31.0888941,92.11947
30.46875,44,55.523613,2.17422867,31.1552377,92.11947
16.015625,42,55.3964844,2.16925049,31.277016,92.11947
11.71875,41,55.4659424,2.17197037,31.4439605,92.11947
6.25,41,55.248703,2.16346359,31.2131387,92.11947
11.328125,41,55.23682,2.1629982,31.1077927,92.11947
2.734375,41,55.31154,2.165924,31.2638422,92.11947
4.296875,41,55.2961464,2.16532135,30.8052183,92.11947
8.203125,42,55.1638527,2.160141,30.7959339,92.11947
14.0625,44,54.5576324,2.13640213,30.7724305,92.11947
23.4375,42,48.8251572,1.91192627,30.8238581,92.11947
9.412205,41,48.88059,1.91409683,30.816179,92.11947
6.22596169,41,48.7259865,1.90804291,30.9753191,92.11947
14.0625,41,48.6664658,1.90571213,30.845733,92.1194839
9.375,41,48.644352,1.90484619,30.9310197,92.1194839
6.640625,41,48.6457138,1.9048996,30.9922693,92.1194839
9.375,41,48.9270554,1.91591644,31.0656173,92.1194839
17.96875,44,49.09539,1.92250824,31.2125698,92.1194839
30.859375,44,49.66216,1.94470215,30.9757983,92.1194839
11.71875,45,49.78052,1.949337,31.0028215,92.1194839
29.296875,45,49.7620125,1.94861221,31.1332735,92.1194839
25.78125,43,48.9193573,1.91561508,31.1486611,92.1194839
31.640625,44,48.80694,1.91121292,30.8760545,92.1194839
28.515625,43,48.7456665,1.90881348,30.9146501,92.1194839
28.90625,44,48.6348038,1.90447235,30.8873395,92.1194839
30.30494,45,48.98297,1.91810608,30.9918406,92.1194839
29.4152489,45,49.31867,1.93125153,31.1862225,92.1194839
24.21875,45,49.66781,1.9449234,31.0208628,92.1194839
13.671875,42,49.6582642,1.94454956,31.0922328,92.1194839
24.609375,45,49.6355667,1.94366074,31.1464967,92.1194839
28.515625,42,49.46343,1.93692017,31.3715628,92.1194839
7.03125,42,49.60371,1.94241333,31.2351196,92.1194839
16.796875,42,49.4635277,1.936924,31.2534964,92.1194839
17.578125,45,49.56523,1.94090652,31.2295393,92.1194839
19.23077,45,49.4834,1.93770218,31.2582192,92.1194839
16.015625,45,49.0098572,1.91915894,30.9618085,92.1194839
18.75,42,49.2408333,1.92820358,30.9591703,92.1194839
16.9230824,45,49.416378,1.93507767,30.9079047,92.1194839
16.53846,45,49.32169,1.93136978,30.9601641,92.1194839
17.1875,43,49.2456055,1.9283905,30.9469292,92.1194839
19.140625,43,49.22505,1.9275856,30.9227598,92.1194839
15.234375,45,49.29675,1.93039322,31.0992781,92.1194839
15.7692318,43,48.88351,1.91421127,31.1440424,92.1194839
23.8461552,45,49.1712761,1.92547989,30.9966863,92.12631
17.69231,45,49.1718636,1.92550278,30.8960633,92.12631
38.28125,43,49.02184,1.91962814,31.1936607,92.12631
