CPU Total,CPU Package Temperature,Memory,Used Memory,Temperature,Used Space
24.609375,48,88.22819,3.454895,41,92.1361847
31.640625,49,88.90504,3.48139954,41,92.1361847
28.0303,50,88.75969,3.475708,41,92.1361847
41.12903,51,89.40303,3.50090027,41,92.1361847
21.09375,49,89.43479,3.50214386,41,92.1361847
28.125,49,89.3435059,3.49856949,41,92.1361847
38.671875,49,89.2854462,3.496296,41,92.1361847
27.734375,49,89.21609,3.49357986,41,92.1361847
19.140625,49,89.40605,3.50101852,41,92.1361847
30.078125,49,89.3325043,3.49813843,41,92.1361847
25.78125,49,89.114,3.489582,41,92.1361847
16.796875,49,88.89851,3.481144,41,92.1361847
21.875,49,88.88351,3.48055649,41,92.1361847
20.3125,49,88.5146942,3.466114,41,92.1361847
18.75,49,88.6812744,3.47263718,41,92.1361847
21.875,49,88.37714,3.46072769,41,92.1361847
36.71875,49,88.3188858,3.4584465,41,92.13623
30.46875,51,88.66042,3.47182083,41,92.13623
29.296875,50,88.84425,3.47901917,41,92.13623
27.734375,50,88.94362,3.48291016,41,92.13623
35.15625,49,89.27512,3.49589157,41,92.13623
42.96875,50,89.45213,3.50282288,41,92.13623
57.8125,52,89.93025,3.52154541,41,92.13623
43.359375,49,90.0276642,3.52536,41,92.13623
20.3125,49,90.01822,3.52499,41,92.13623
27.734375,49,90.0235748,3.5252,41,92.13623
39.84375,49,90.05543,3.5264473,41,92.13623
21.09375,50,89.97087,3.52313614,41,92.13623
42.1875,51,90.1214752,3.52903366,41,92.13623
53.515625,50,90.1132,3.52870941,41,92.13623
43.9112053,49,90.01714,3.52494812,41,92.13623
52.14543,52,90.33307,3.53731918,41,92.13623
33.203125,49,90.0886459,3.527748,41,92.13623
26.6493073,49,89.99542,3.52409744,41,92.13623
24.8978386,49,90.00107,3.5243187,41,92.13623
34.1207848,49,89.94233,3.52201843,41,92.13623
28.42548,49,90.01559,3.524887,41,92.13623
22.65625,51,90.4286346,3.5410614,41,92.13623
26.6493073,49,90.44061,3.54153061,41,92.13623
49.02043,49,90.2584457,3.53439713,41,92.13623
42.1875,51,90.51796,3.54455948,41,92.13623
39.84375,51,90.63662,3.54920578,41,92.13623
36.71875,50,90.56599,3.54644012,41,92.13623
51.953125,52,90.95147,3.561535,41,92.13623
